Pathway,RHL3145,RHL3151,RHL3153,RHL3513,RHL3538,RHL3539,RHL3540,RHL3541,RHL3542,RHL3545,RHL3546,RHL3547,RHL3548,RHL3549,RHL3552,RHL3553,RHL3554,RHL3555,RHL3556,RHL3559,RHL3560,RHL3561,RHL3563,RHL3565,RHL3566,RHL3572,RHL3573,RHL3574,RHL3577,RHL3578,RHL3579,RHL3580,RHL3581,RHL3871,RHL3872,RHL3873,RHL3874,RHL3875,RHL3946,RHL3947,RHL3948,RHL3949,RHL3950,RHL3951,RHL3952,RHL3953,RHL3954,RHL3955,RHL4237,RHL4238,RHL4239,RHL4240,RHL4241,RHL4242,RHL4243,RHL4246,RHL4247,RHL4248,RHL4251,RHL4252,RHL4253,RHL4254,RHL4255,RHL4256,RHL4257,RHL4262,RHL4263,RHL4264,RHL4265,RHL4274,RHL4275,RHL4276,RHL4277,RHL4279,RHL4280,RHL4281,RHL4282,RHL4283,RHL4413,RHL4414,RHL4415,RHL4416,RHL4419,RHL4420,RHL4421,RHL4422,RHL4423,RHL4424,RHL4425,RHL4426,RHL4427,RHL4432,RHL4433,RHL4434,RHL4465,RHL4466,RHL4468,RHL4469,RHL4470,RHL4471,RHL4472,RHL4473,RHL4474
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,0.093915226,0.031119434,0.018672057,-0.392470818,-0.145431232,-0.183279766,0.083745826,-0.284614595,-0.328526444,0.017344953,0.008175858,-0.059593712,-0.11902843,-0.085790324,-0.312673838,-0.270033762,-0.252763845,-0.272889187,-0.290502488,0.191227617,0.122332033,0.279394733,0.053184776,0.059647506,0.152421134,0.424819793,0.388844388,0.341200597,0.373234234,0.311767175,0.460974251,0.348175079,-0.288664438,0.249923355,0.210293663,0.236785184,0.216438347,0.220402928,0.028515174,-0.030362752,0.1599665,-0.160083658,0.179536435,0.379348197,0.366021061,0.299628446,0.407410881,0.415501842,-0.06521583,0.187537041,-0.117811542,-0.247718611,-0.105489819,-0.184408522,-0.063471536,-0.113164977,-0.374371702,-0.427637242,0.241162023,0.124321208,0.371824014,0.163695298,0.147383309,0.022129479,0.13358393,-0.23091106,-0.148331316,-0.334095643,-0.427214166,-0.342824436,-0.278225623,-0.17740143,-0.21011448,0.027106208,0.020548495,0.200741227,-0.185289514,-0.136733683,-0.273810298,-0.260778337,-0.358903196,-0.348229869,-0.188721656,-0.292466132,0.049625002,0.018416695,0.199001126,0.001175544,0.124119114,0.127546246,0.04989279,0.21823911,0.101137958,-0.144988636,0.135287381,0.271677904,-0.075464926,-0.111739612,0.087873816,0.178613475,0.200485678,0.115047764,0.0426413
REACTOME_ANDROGEN_BIOSYNTHESIS,-0.021903113,0.320351235,-0.347388238,-0.459432556,-0.582015895,-0.412130299,-0.471628558,-0.427797184,-0.467444043,0.023294868,-0.230007326,0.118610676,-0.257130566,-0.360514884,0.165925324,0.57052267,0.157765113,0.31127286,0.170648091,0.151786341,0.547778319,-0.338687794,0.401619186,0.019844951,0.262998503,0.282669689,-0.106965114,0.28455881,0.061520933,0.396707917,0.108978314,0.257176937,0.279070315,0.023953042,0.041222716,0.001524041,-0.160484571,-0.12697838,0.114697947,0.093544884,0.054472167,-0.25794216,0.023539183,-0.211105097,0.096763111,-0.344329741,-0.168969074,-0.018780266,-0.111065883,-0.461158886,0.054992986,0.258225495,-0.188644283,-0.195565326,0.224082166,0.265054308,0.197010448,0.447404572,-0.152156925,0.347259351,0.329110801,0.330759256,0.351536686,-0.089805708,0.322124093,0.557083996,0.562020918,0.380941818,0.043108855,0.114051893,0.211986988,0.285713242,0.40990431,0.175192014,0.153888387,-0.022626387,-0.009933208,-0.133215021,-0.06965506,0.018296848,0.047540084,0.069699016,0.0515359,0.020223441,-0.45784966,0.023465645,0.136237281,-0.181721121,0.197333411,-0.141452519,-0.126369774,0.062963452,0.412850992,-0.263810658,-0.214003391,-0.062351148,0.290138284,0.130340333,-0.51930952,-0.155860503,0.375499013,0.201034578,-0.198424086
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,0.124101408,0.198748075,0.083243636,-0.461288597,-0.374132024,-0.246767605,-0.086682512,-0.277135187,-0.345973105,-0.087908172,0.161748518,-0.151369157,0.033534925,-0.053317447,-0.138643726,-0.102121227,-0.048258229,-0.059956503,-0.133573864,0.264506434,0.321654248,0.237604793,0.277251237,0.327905132,0.307336531,0.416532957,0.418497219,0.271915583,0.318195561,0.224320889,0.406672905,0.257594634,-0.144824646,0.410622486,0.394898661,0.406549165,0.336116678,0.395539181,0.163742557,-0.102573276,0.186605455,-0.167652468,0.224195855,0.222785009,0.149735516,-0.085042646,0.040080725,0.118356941,-0.199362881,0.001945773,-0.033074149,-0.022988799,-0.124633818,-0.196142848,0.010981636,-0.179038897,-0.366962386,-0.412443281,0.023723613,0.084112928,0.388521709,0.165942131,0.099146856,-0.103204889,0.289957946,-0.192264308,-0.15492071,-0.341287017,-0.402479485,-0.266775094,-0.257789364,-0.060837519,-0.240480449,0.30806927,0.259844708,0.228125703,-0.290586863,-0.0953087,-0.421773715,-0.476873963,-0.513370887,-0.45328104,-0.069484618,-0.183719267,0.059365052,0.062079404,0.256631738,-0.105460443,0.085276264,0.086059674,-0.11130561,0.340414453,0.174414805,0.043969652,0.262730935,0.113654164,0.08457119,0.01043499,0.022454155,0.156131835,0.079339447,-0.038646556,-0.134660665
REACTOME_P75NTR_SIGNALS_VIA_NF_KB,-0.031504552,0.435787942,-0.037443095,-0.213330047,-0.405734174,-0.241315339,-0.285733179,-0.220436754,-0.305767247,-0.13578988,0.117119637,-0.175258995,-0.107493306,-0.22448847,0.240268107,0.137682899,0.286240694,0.257746006,0.280525636,0.187496305,0.227827992,0.279079135,0.192175884,0.215673418,-0.420703507,0.210095007,-0.22778973,-0.158479905,-0.28234377,-0.332373218,-0.14034012,-0.241827,0.172401961,0.043533078,0.166088302,0.153160091,0.188786667,0.173251677,-0.230759106,-0.40482713,-0.330652855,-0.479237694,-0.3149378,0.139038132,0.121490623,-0.002009186,0.095909662,-0.092453121,0.047819922,0.273677814,-0.244315109,0.073722863,-0.02799556,-0.11435309,0.120617311,-0.248070417,-0.324157449,-0.268360498,-0.336506134,0.058234045,0.149874549,0.054372783,0.084790087,-0.143582449,-0.628021969,-0.263294088,-0.652859876,-0.323734166,-0.23705263,-0.327322105,-0.341245544,-0.104210778,-0.284595713,-0.122252746,-0.529135476,0.004613127,-0.182060754,0.118698341,0.093125216,0.122056749,0.182134268,0.076468931,0.266167875,0.29151076,0.058589919,0.114396963,-0.089448516,0.08860976,0.111604069,0.13581425,0.181603199,0.382499991,0.433784945,0.438673472,0.031271203,-0.28594459,0.054308553,-0.157218141,0.11976341,0.018101786,-0.072661046,-0.073494638,0.146308906
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,-0.071028418,-0.040713376,-0.018453374,0.262936463,0.433342349,0.299323649,0.436441841,0.223080217,0.258953907,0.258248399,0.044771437,0.336447946,-0.051341931,-0.025813542,-0.271411438,-0.344209851,-0.281053538,-0.314535432,-0.239954596,0.055293295,-0.293117623,0.296438914,-0.116547634,-0.115232123,0.063968307,0.020730697,-0.009879805,-0.054976724,0.219698118,0.14137249,0.179173921,0.167544242,-0.084772709,-0.244037611,-0.205219431,-0.109052396,-0.031418408,-0.191570213,-0.188395118,-0.05662375,-0.062337577,0.002224465,-0.104833781,0.455612728,0.313855996,0.335237453,0.303922379,0.20071986,0.435797013,0.189139679,0.002055699,-0.117046578,0.079741007,0.254872596,0.163170763,0.0978278,-0.10907096,-0.305758313,0.238726972,-0.340665828,-0.290876422,-0.263110562,-0.353179194,-0.064614973,-0.363032005,-0.361176614,-0.394500282,-0.057074263,-0.08705392,-0.409654834,-0.340463172,-0.419323461,-0.445944423,-0.395460512,-0.519848358,-0.285275818,0.045848131,0.355115323,0.422777811,0.472151677,0.386586731,0.264919221,-0.040481214,0.182467369,0.122450425,0.099305429,-0.059958527,0.143455207,0.137917732,0.2400332,0.308884022,-0.274670543,-0.406089977,0.052118585,-0.291593693,0.090709031,-0.148271989,-0.120550704,-0.256070373,-0.269489149,0.002434418,-0.279820524,0.225332741
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,-0.468492785,-0.206188894,0.107500316,0.180321768,-0.185609226,0.13296041,-0.162305666,0.349756497,0.091546862,0.188994656,0.299749212,0.135196413,0.246111839,0.339152529,-0.530148703,-0.505743595,-0.57258234,-0.410262031,-0.353105071,0.333520546,0.348142649,0.030045324,0.268029184,0.344361582,0.131041847,-0.006577711,-0.245070249,-0.318252629,-0.417293667,-0.308489381,-0.329420153,-0.282682181,-0.099387647,0.18980026,0.139215557,0.057481932,-0.024195939,0.163520836,-0.22150521,-0.023594719,-0.226399474,-0.244602633,-0.166564918,-0.07107874,0.02055268,-0.169433502,0.027817392,0.19581505,0.578203731,0.58329875,-0.020797348,0.24704416,-0.196851795,-0.063995891,0.043305193,0.198933608,0.146553157,-0.060196736,0.030602235,-0.01897917,-0.06098847,-0.188956777,-0.293250518,0.194284617,-0.502533189,-0.08737916,-0.665833935,-0.001697342,0.030312904,-0.360744615,-0.312039518,-0.190254991,0.211812383,-0.012516457,-0.202959373,-0.032122744,-0.010388942,0.428537801,-0.206952664,-0.099008664,-0.019867243,-0.328687337,0.379055111,0.386598536,-0.137744907,-0.14991902,-0.261040768,-0.276306994,-0.149880955,-0.333751157,-0.251340122,0.125502608,0.081105677,0.355480625,0.148129951,-0.17486255,-0.161375603,-0.281340159,0.147561673,-0.040513865,0.471421498,0.045386319,0.594912952
REACTOME_P75NTR_REGULATES_AXONOGENESIS,0.339141655,0.391970003,-0.49560943,-0.209683739,-0.281853724,0.163118272,-0.083268684,0.283620009,0.023389475,-0.380661084,0.24359858,-0.346782497,0.08723581,-0.315671151,0.126318566,0.207572652,0.055133178,0.116938195,0.091854151,0.259790798,0.301333959,0.022979149,0.401830072,-0.005197838,0.005103499,-0.201612629,-0.38019225,-0.39489632,-0.075726706,0.214786077,0.254127981,0.352085906,0.332117844,-0.186731346,-0.11121635,-0.11907394,0.024110681,0.015624711,0.16177035,-0.084135135,-0.106630634,0.04772549,-0.037686392,0.034735857,-0.121294302,-0.203268337,0.106410295,0.081406779,-0.035762634,0.533558292,0.431633271,0.604445667,0.26796212,0.493304348,0.564237713,-0.187062178,-0.043783963,0.209687569,-0.510363647,0.080636785,-0.271161496,-0.312754443,-0.302845651,-0.219095656,-0.099599091,0.054673942,-0.23739821,-0.138450509,-0.139214443,0.053550349,-0.143632495,0.402072105,0.038835596,0.269307057,0.081272311,0.012502203,0.441494413,0.183186855,-0.092263524,0.024983738,0.052637718,-0.010975367,-0.021277858,-0.032895914,-0.180639904,-0.381192024,-0.169267777,-0.210418907,0.083632584,0.164294962,0.421013616,-0.156532039,0.16831055,0.455798016,-0.272973702,-0.306611556,-0.235690587,-0.246600955,-0.394460451,-0.115930196,-0.203121977,0.041209406,0.055960811
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,-0.133876626,-0.039956942,-0.086120308,0.228312021,0.208362919,0.256814799,0.283762302,0.253345195,0.26216486,0.173332765,0.075268917,0.204004979,0.036304785,0.006967345,-0.089571116,-0.096730223,-0.111244632,-0.116418194,-0.066243327,0.140659429,-0.099964176,0.227520879,0.002171931,0.025416705,-0.066085535,-0.036441533,-0.151249032,-0.152511011,-0.050228557,-0.151317821,-0.041872451,-0.027508879,-0.069291082,-0.156134613,-0.089867689,-0.054447462,-0.017511802,-0.056242801,-0.162366171,-0.091892784,-0.130030474,-0.116262105,-0.154532262,0.284357511,0.122027157,0.109058199,0.118559491,0.012738242,0.320269576,0.225380079,0.063489076,0.024820299,0.084165294,0.184197212,0.204826754,0.113600075,0.017921711,-0.154908219,-0.012645203,-0.228057951,-0.22346118,-0.248067391,-0.292423052,-0.059476374,-0.402255612,-0.275297098,-0.418519281,-0.06817327,-0.131298582,-0.332151276,-0.209764376,-0.202607933,-0.241585465,-0.26654522,-0.427125863,-0.164369824,0.088904232,0.33759797,0.192572779,0.288821695,0.254694412,0.033713851,0.134048886,0.289048246,-0.040720198,-0.097527384,-0.187164756,0.07466649,0.088325866,0.128594947,0.211804966,-0.1876404,-0.22810478,0.159155632,-0.120212204,-0.077730688,-0.098874836,-0.218486944,-0.124964458,-0.188877506,0.072762219,-0.208997864,0.216718858
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,0.298885967,0.309581903,0.079682769,-0.190322911,-0.234999103,-0.007520529,0.169752513,-0.031969299,0.103771145,0.203875248,0.417045009,0.289111217,0.392458111,0.3132375,0.136560148,0.256529343,0.337032122,0.20417514,0.122256471,0.338203545,0.365615512,0.218305284,0.451123567,0.296861695,0.469360354,0.181992925,0.289527152,0.194382005,0.555773373,0.352989507,0.531417913,0.383898302,0.208243528,0.463296544,0.388243693,0.411779924,0.371900753,0.375767363,-0.102265875,-0.196659376,0.060181031,-0.275334815,-0.158327159,0.340485869,0.210641887,-0.001926329,0.041667849,0.264874408,-0.066991491,-0.061208266,-0.194366294,-0.172956104,-0.41123634,-0.2857286,-0.458568724,-0.203196331,-0.192665963,-0.415057969,-0.243715894,-0.169831257,0.22854962,-0.113599917,-0.217327412,-0.049287166,0.515145417,-0.070163851,0.112356991,-0.240425221,-0.500085754,-0.091509677,-0.243715138,-0.196730161,-0.248324583,0.053201453,0.035771278,0.116482768,-0.296026653,-0.386580613,-0.480424332,-0.480823237,-0.524942033,-0.383361566,-0.155774174,-0.268661926,-0.013781377,-0.130404459,-0.070818979,0.056013317,0.064977436,0.110989489,0.039349666,0.273135419,0.07352354,-0.16186861,0.551993475,-0.122550554,-0.040527106,-0.169105071,0.008124194,-0.011897988,-0.405620303,-0.405553619,-0.536126515
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,0.277547709,0.431883008,0.0771392,-0.624185902,-0.450069235,-0.489426511,-0.365308993,-0.525612886,-0.46411969,-0.020082514,0.415518208,-0.145686502,0.028585282,0.24014504,-0.166579204,-0.17065383,-0.014677839,-0.093373114,-0.103950482,0.413149166,0.284157403,0.277428161,0.356384554,0.531503796,0.373345288,0.379914012,0.182687309,0.173141834,0.38927724,0.202448335,0.460151763,0.307683433,-0.051174694,0.38881367,0.279076645,0.278287913,0.298436303,0.372365228,0.264141796,0.031039834,0.172981044,0.072589086,0.291481381,-0.039666059,-0.053628737,-0.172424667,-0.273523426,-0.037091603,0.002688476,0.355620518,0.074550915,0.246071967,-0.076131735,0.114009274,0.016500134,-0.268959797,-0.574850579,-0.542031132,-0.229088961,0.003962148,0.207378909,0.060282004,-0.031496813,-0.080743657,0.258927171,0.020243464,-0.0424066,-0.190174326,-0.028255045,-0.347740555,-0.311782855,-0.174715328,-0.268341793,0.294642766,0.198469311,0.437149913,-0.041670216,-0.01711199,-0.243380973,-0.308293815,-0.333815339,-0.229049906,0.25299663,0.306653474,-0.067712207,-0.176318573,-0.237920331,-0.324287796,-0.097481586,-0.135011513,-0.185212717,0.434051604,0.40471209,0.307030956,0.49902094,0.290602897,0.060784565,0.024958719,0.252094386,0.1259157,-0.069601078,-0.207578553,-0.041124107
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,0.564286665,0.631357214,0.388752908,-0.394335007,-0.198425738,0.138714025,-0.297827385,-0.060530187,-0.346410983,0.057088116,0.472546881,-0.267191614,-0.053420071,0.283121868,0.129498071,0.33670296,0.273942881,-0.033813598,0.068343991,-0.168450996,0.280910846,-0.42115167,0.376924806,-0.303976415,-0.34519731,0.573402393,0.122924655,0.036438203,0.034497026,0.096942934,0.341959709,0.077786398,0.448531636,0.467570453,0.389692516,0.409050944,0.512294689,0.278506881,0.566042536,0.631898938,0.612953273,0.612278675,0.468941833,-0.441890684,0.182075781,0.276741327,-0.364046325,0.002157785,-0.605401726,-0.387407907,0.241875263,-0.046961469,-0.002229495,0.399890044,-0.162831428,-0.091975095,0.360978355,0.482177903,-0.337581435,-0.049835776,0.381304345,0.255960693,0.239817192,0.140770072,0.293999582,0.557658064,0.530209222,0.008197888,-0.006799964,-0.026918963,-0.343508783,-0.037241083,-0.102870442,0.118714369,0.076925372,-0.00657114,-0.446025011,-0.526562654,-0.311785336,-0.344891606,-0.415076219,-0.210791114,-0.409255317,-0.515204686,0.007358761,0.065942591,0.449479755,-0.403951443,-0.058614005,-0.140406699,-0.079009617,0.309904319,0.287792148,-0.054121848,0.029714426,-0.22601776,0.382159838,0.065585031,0.398590022,0.106594259,-0.465600428,0.282870714,-0.260203691
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.132588016,0.128793322,-0.050541572,-0.360891051,-0.144469766,-0.192653529,-0.017203056,-0.255306173,-0.308606389,-0.042053455,0.009572477,-0.096950988,-0.056967712,-0.112801578,-0.245962738,-0.18799632,-0.190803286,-0.124947305,-0.124448789,0.108143865,0.236386518,0.285603239,0.148609906,0.151518448,0.232669455,0.339463524,0.351450891,0.309723124,0.372806076,0.316525157,0.425303326,0.31184584,-0.236912386,0.295526819,0.260797123,0.291855023,0.267235097,0.289492704,0.029365585,-0.086262016,0.148081734,-0.108726891,0.116965916,0.309385326,0.353126062,0.259482158,0.371204238,0.396316081,-0.220416701,0.162951539,-0.131426714,-0.173968779,-0.114128736,-0.255075259,-0.06850852,0.024428513,-0.346666751,-0.347554414,-0.040928251,0.18057348,0.292048375,0.192251153,0.164145003,-0.077504783,0.1983417,-0.140983677,-0.028067761,-0.237563671,-0.267235841,-0.243754384,-0.240240528,-0.033700268,-0.174040916,0.022552047,0.014613167,0.147234422,-0.24860038,-0.159094502,-0.274900605,-0.277123059,-0.330801874,-0.30411333,-0.171850603,-0.297959319,0.052035874,0.044470962,0.228653576,-0.018050924,0.091600885,0.120652018,0.097805572,0.180885602,0.033421684,-0.201422879,0.176430715,0.253354909,-0.020340395,-0.071253414,0.052605908,0.142905919,0.050767127,0.048000471,-0.122020382
REACTOME_SIGNALING_BY_VEGF,-0.020873299,0.000152103,-0.081935779,0.091198994,0.148646689,-0.028348786,0.115341831,0.012332554,0.143469397,0.067542017,0.015108939,-0.036211289,0.084456169,0.013940226,0.156160358,0.13422077,0.161623176,-0.012454496,0.120925741,0.340550102,0.120763174,0.293865573,0.064156544,-0.057101937,0.016524541,-0.027960438,-0.249559258,-0.170339696,0.097067725,-0.049897441,0.129798535,0.095748888,0.201281269,-0.119137949,-0.068654375,0.011527723,-0.047752887,-0.063389026,-0.158011389,-0.074074647,-0.141385047,0.020105807,-0.191749221,-0.043053099,-0.123349008,-0.081411691,-0.206812418,-0.206719484,0.311194978,0.323659622,0.125049997,0.223506616,0.15176791,0.353763342,0.192868885,-0.235150695,-0.362840216,-0.279062712,0.017070147,-0.241508967,-0.156121307,-0.133945756,-0.275025207,0.015677957,-0.537425556,-0.388879902,-0.48972236,-0.315181165,-0.244972371,-0.205818744,0.039308747,-0.016271617,-0.064467326,-0.23010499,-0.318948897,-0.10896775,0.212968031,0.276068096,0.372836553,0.411241991,0.366665122,0.156613579,0.042860488,0.098920755,-0.124141392,-0.136496615,-0.267440211,0.020500703,0.134595366,0.185801927,0.340795881,0.155936438,-0.025710989,0.277502019,0.184138172,0.120742205,-0.300383935,-0.302682523,-0.078586806,-0.252803338,-0.201061245,-0.29050661,0.050825481
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,-0.379182443,-0.311061982,0.00107513,-0.013236096,-0.363799398,0.040179567,0.133449008,-0.048638393,0.048577889,-0.277903805,-0.163441091,-0.255458489,-0.020194479,0.027745805,0.397637585,0.424444854,0.38096528,0.417149837,0.462348179,0.215440163,0.300724268,0.002274664,0.053202988,0.167940226,-0.192134412,-0.243077785,-0.376887977,-0.350061725,-0.45781998,-0.502215236,-0.402781701,-0.43994202,0.18202069,0.040237801,0.165292019,0.073581641,-0.003086907,0.183268006,0.182534413,0.125086191,0.118722905,-0.1275961,-0.213318312,-0.392801276,-0.444609767,-0.466182052,-0.417231073,-0.426274965,0.000432521,-0.057711355,-0.017644042,0.134038411,-0.040253821,-0.123524532,-0.022856448,0.208091843,0.396908335,0.392726264,-0.116241304,0.035741756,0.039497977,0.015351197,-0.020852569,0.146185876,-0.453752049,0.10770588,-0.1995301,0.360574768,0.324453823,-0.22864708,-0.011545972,0.062784203,-0.05018929,0.028230247,-0.220023754,0.120372383,-0.006037272,0.131730373,-0.26765728,-0.262473598,-0.230497091,-0.213568274,0.224020342,0.235395057,-0.355933003,-0.355123207,-0.377515025,-0.002381604,0.177954031,0.125000027,0.048599216,-0.134602598,-0.150108661,0.357963892,0.267813431,-0.230071254,-0.12493155,-0.290674353,0.221131946,0.153835729,-0.084208839,0.017766715,0.006192715
REACTOME_RHO_GTPASE_EFFECTORS,-0.268400615,-0.165538428,-0.068122389,0.1904953,-0.107012132,0.119338088,-0.012128883,0.098577319,0.205797294,0.121805941,-0.026164206,0.266276161,0.157435335,0.101575815,0.353112943,0.309416303,0.320383312,0.31808403,0.372255688,0.290584636,0.217835256,0.269830159,0.198554561,0.017722914,-0.188270684,-0.251880903,-0.354442292,-0.332178867,-0.340833403,-0.386347428,-0.335636535,-0.293098072,0.217156505,-0.111561196,-0.158613731,-0.120610009,-0.164679795,-0.095820168,-0.335670919,-0.231327435,-0.349293771,-0.32926081,-0.351508994,-0.270357245,-0.400092273,-0.352972664,-0.282405636,-0.306942457,0.181874374,0.047794617,0.178345099,0.115724906,0.131574216,0.254143422,0.136873301,0.025549922,0.13182136,0.028284507,-0.143085346,-0.219575333,-0.169486262,-0.132186286,-0.191893901,-0.062223918,-0.415111312,0.084571021,-0.190314898,0.232317759,0.264191486,-0.181869074,0.041396203,0.04891032,0.007123147,-0.14501167,-0.164338027,-0.051026761,0.351306459,0.382381928,0.122893827,0.175530587,0.138524664,-0.059603375,0.230048646,0.259242681,-0.289398077,-0.301306424,-0.387957993,0.116196268,0.100710132,0.117539434,0.121996268,-0.13494447,-0.225235649,0.32571196,0.314625947,-0.226270666,-0.240867869,-0.226037645,0.022699932,0.085722502,0.079479782,-0.239764956,0.102418973
REACTOME_SIGNALING_BY_WNT,-0.170115543,-0.132058964,-0.117772726,-0.089889648,-0.219119234,-0.112857005,0.004525866,-0.06398306,-0.00398809,-0.150148529,-0.100260198,-0.042751594,-0.075727194,0.038771711,0.094191237,0.073900137,0.058609511,0.095338761,0.086373439,0.135969662,0.161266594,-0.03189782,0.033524836,0.150790061,0.038967585,-0.026952964,-0.242794836,-0.243129311,-0.237908701,-0.298658431,-0.187141233,-0.216143767,0.043967159,0.007254129,0.028334686,-0.050972441,-0.059145023,0.026437571,0.14933057,0.221815987,0.142677402,0.090070993,0.052852632,-0.21751083,-0.154538578,-0.147920155,-0.16681162,-0.03494681,0.06984116,0.125534225,0.160389398,0.258182354,0.089615425,0.139351759,0.086430989,0.066538933,0.134177116,0.138923984,-0.081094258,-0.134846088,-0.053786515,-0.075062559,-0.152455064,0.157015486,-0.354584415,-0.009083422,-0.222303064,0.139775251,0.178890722,-0.148781661,0.042252423,0.001358659,-0.0073651,-0.086904245,-0.187979745,-0.141297604,0.190841508,0.166413123,0.014709661,-0.030281162,0.001087885,0.003107108,0.150292443,0.218190219,-0.105852993,-0.091170465,-0.121280501,-0.083404373,-0.026962025,0.00603926,0.021714314,0.03858066,-0.059468152,0.184408573,-0.049119493,0.030567534,-0.119113107,-0.103081405,-0.005677671,-0.051150141,-0.099719854,-0.090459067,0.023536101
REACTOME_METABOLISM_OF_STEROID_HORMONES,0.174868005,0.338236779,-0.020207161,-0.309162725,-0.235091341,-0.239295644,-0.236528568,-0.229861589,-0.291244103,-0.113382395,0.048393096,-0.001763433,0.025931991,-0.114109435,0.208139583,0.388534189,0.282627521,0.260184798,0.175347215,0.15386719,0.345206916,-0.059946566,0.339313991,0.105976447,0.120229042,0.401840638,0.244786616,0.310428689,0.216498083,0.344124685,0.35990617,0.37415107,0.402287755,0.300365402,0.280985888,0.326431895,0.239978291,0.213026985,0.122007717,0.175447736,0.067375106,-0.010171821,0.152805443,-0.001891096,0.206824636,-0.016451575,-0.027360724,0.056519122,-0.386110122,-0.313253979,-0.078742323,-0.098079984,-0.288112789,-0.276248629,-0.269570822,-0.137909737,-0.129462979,0.059667393,-0.368312814,-0.009629613,-0.053740796,0.142415232,-0.014379944,-0.147645199,0.163364317,0.166034075,0.210067443,-0.072190121,-0.247663027,0.168744957,-0.124728428,0.321331746,0.102390698,0.154834239,-0.012839617,0.095355089,-0.336961697,-0.414119342,-0.064158165,-0.215803553,-0.071809843,0.107574508,-0.2656971,-0.365221579,-0.114474165,0.125491068,0.113661295,-0.158203302,0.112140429,0.120748824,0.096317452,0.258411865,0.322880875,0.089959721,-0.13061866,-0.162768347,0.271408992,0.070989327,-0.246382772,-0.098474478,-0.139205336,0.214540371,-0.03514728
REACTOME_PREGNENOLONE_BIOSYNTHESIS,-0.054771975,0.177503807,0.086322874,-0.007503362,-0.154148809,-0.295131558,-0.042478641,0.0110464,-0.240525836,-0.333555229,0.05997458,-0.004244353,-0.072259867,-0.041208654,0.103878587,0.180030629,0.345581193,0.244501504,0.155218679,0.122434253,0.173178472,0.250291521,0.340776523,-0.000702437,0.094949765,0.220209388,0.463655611,0.49678277,0.217380966,0.293622132,0.505270707,0.531519681,0.4814675,0.218125146,0.177179478,0.267972795,0.232950081,0.118379276,0.098259986,0.257288807,0.043705249,0.080206534,0.243382339,0.16214263,0.231615906,0.003185096,0.131027857,0.193077903,-0.239800153,-0.195858886,-0.19718876,-0.407782721,-0.449197697,-0.406421502,-0.434484982,-0.373139272,-0.535765581,-0.34834946,-0.606605474,-0.183131118,-0.312723439,0.023888632,-0.207091379,-0.315161692,-0.111255894,-0.20200298,-0.19870472,-0.097894092,-0.268235927,0.332564795,-0.209936127,0.416928827,0.023192917,0.111033198,-0.181126942,0.185199377,-0.466015493,-0.61436005,0.253677606,-0.305845149,0.020948637,0.310513568,-0.394495358,-0.352899035,0.331985816,0.335267612,0.089045582,0.241669888,0.396443084,0.435196087,0.430733449,0.152546403,0.187937739,0.371926508,-0.239506513,-0.312441395,0.092357464,-0.075332236,-0.440321982,-0.167827964,-0.092306839,0.176009757,0.020341844
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,-0.299913784,-0.274533119,-0.320279797,-0.04191533,0.001660598,-0.032090116,0.063463823,0.016712756,-0.085902047,-0.243091996,-0.530928418,0.073118082,-0.424952565,-0.356989499,-0.021895804,-0.076230428,-0.126235076,-0.019533395,0.183885861,0.26987972,0.214837237,0.142984304,-0.077600564,0.336435652,0.083945119,0.218351105,-0.21000741,-0.047344644,-0.287142668,-0.538875811,-0.39219297,-0.503812632,-0.517867503,0.035890367,-0.185256917,-0.203615269,-0.177510529,-0.077046128,0.089427376,0.220658845,0.166592264,0.077336494,0.038877636,-0.324857032,-0.316191655,-0.338548726,-0.375815009,-0.427054727,-0.338467093,-0.347887254,0.185400474,0.29709259,0.3280152,0.063469663,0.209416181,0.385731312,0.422221517,0.365766661,-0.120964272,0.10988039,0.051888658,-0.047118479,0.054438332,0.129519255,-0.564689299,-0.049113985,-0.486662433,0.247599552,0.180119279,-0.370415885,0.045242842,-0.001968593,-0.127680523,-0.264026284,-0.418155436,0.026741564,-0.144896507,0.445963535,-0.159666492,-0.158794013,-0.026892702,-0.280749243,0.156369334,0.197213638,0.219601025,0.191609868,-0.258605888,-0.253159432,0.20587397,0.122651066,0.067128731,0.412073307,0.125639303,0.382564855,-0.046273647,0.290921979,0.197371385,0.036020656,0.146856139,0.310344357,0.011376779,0.162212982,0.175428671
